it		info		fitness
0		[3, 0, 8, 11, 0, 2, 3, 0, 0, 12, 10, 2, 11, 5, 3, 1, 5, 7, 11, 5, 4, 6, 4, 5, 3, 3, 5, 12, 5, 3, 4]		0.4672365171075624
1		[3, 0, 8, 11, 0, 2, 3, 0, 0, 12, 10, 2, 10, 5, 3, 1, 5, 7, 11, 5, 4, 9, 4, 5, 0, 1, 5, 7, 8, 3, 4]		0.6318457202567795
2		[9, 0, 8, 11, 0, 2, 3, 8, 0, 12, 10, 2, 11, 5, 3, 0, 9, 7, 11, 5, 4, 6, 4, 5, 3, 7, 5, 12, 5, 3, 10]		0.6779721328800429
3		[8, 0, 8, 11, 0, 2, 3, 9, 5, 12, 10, 2, 10, 5, 12, 1, 5, 7, 11, 5, 4, 6, 10, 5, 3, 7, 5, 4, 9, 3, 4]		0.695800461836248
4		[3, 0, 8, 11, 0, 2, 6, 0, 0, 3, 10, 2, 10, 8, 12, 1, 5, 7, 11, 5, 4, 6, 5, 5, 3, 3, 1, 12, 5, 7, 4]		0.744120925468956
5		[3, 0, 8, 11, 0, 2, 6, 0, 0, 3, 10, 2, 10, 8, 12, 1, 5, 7, 11, 5, 4, 6, 5, 5, 3, 9, 1, 12, 5, 7, 4]		0.7658068928943993
8		[3, 0, 8, 11, 0, 2, 6, 0, 0, 3, 10, 2, 10, 8, 12, 1, 5, 7, 11, 5, 4, 6, 5, 9, 3, 9, 1, 12, 5, 7, 4]		0.8115297145708653
24		[5, 0, 8, 11, 0, 2, 6, 0, 0, 3, 10, 2, 10, 8, 12, 1, 5, 7, 11, 0, 4, 6, 5, 9, 3, 9, 1, 12, 5, 7, 4]		0.8370645971733706
191		[2, 9, 12, 1, 10, 8, 0, 0, 0, 3, 11, 12, 6, 8, 7, 2, 5, 5, 6, 9, 4, 11, 4, 0, 3, 7, 1, 12, 12, 12, 10]		0.8376372525180152
334		[2, 9, 12, 1, 10, 8, 0, 0, 0, 3, 11, 12, 6, 8, 7, 2, 5, 5, 6, 9, 4, 11, 4, 0, 3, 7, 1, 10, 12, 12, 0]		0.8389485538924838
349		[2, 9, 12, 1, 10, 8, 0, 0, 0, 3, 11, 12, 6, 8, 7, 2, 5, 5, 6, 9, 4, 11, 4, 0, 3, 7, 1, 10, 0, 12, 0]		0.8390595523455155
603		[2, 9, 12, 1, 10, 8, 0, 0, 0, 3, 11, 12, 6, 0, 7, 2, 5, 5, 6, 9, 4, 11, 4, 0, 3, 7, 1, 10, 0, 12, 8]		0.841101852542057
706		[2, 9, 12, 1, 10, 8, 0, 0, 12, 3, 11, 12, 6, 0, 7, 2, 5, 5, 6, 9, 4, 11, 4, 0, 3, 7, 1, 10, 0, 12, 8]		0.8414552165323548
762		[2, 9, 12, 1, 10, 8, 4, 0, 12, 3, 11, 12, 6, 0, 7, 2, 5, 5, 6, 9, 12, 11, 4, 0, 3, 7, 1, 10, 0, 12, 8]		0.8444462546030259
1412		[2, 9, 12, 1, 10, 8, 4, 0, 12, 3, 11, 12, 6, 4, 7, 2, 5, 5, 12, 9, 12, 11, 4, 6, 3, 7, 1, 10, 0, 12, 8]		0.8447214499114849
1455		[2, 9, 12, 1, 10, 8, 4, 0, 12, 3, 11, 12, 6, 1, 7, 2, 5, 5, 12, 9, 12, 11, 4, 6, 3, 7, 2, 10, 0, 12, 8]		0.8447548389411615
1465		[2, 5, 0, 4, 10, 8, 3, 9, 11, 0, 2, 2, 1, 12, 7, 2, 5, 6, 2, 1, 9, 11, 4, 6, 3, 7, 2, 10, 0, 12, 8]		0.8452768224717745
1526		[2, 5, 0, 4, 10, 8, 3, 9, 11, 0, 2, 2, 1, 12, 7, 2, 5, 6, 0, 1, 9, 11, 4, 6, 3, 7, 2, 10, 0, 12, 8]		0.8457774175460671
2240		[2, 5, 0, 4, 10, 8, 3, 9, 11, 0, 2, 0, 1, 12, 7, 2, 5, 6, 0, 1, 9, 11, 4, 6, 3, 7, 2, 10, 0, 12, 8]		0.8460422715468802
2768		[2, 5, 0, 4, 10, 8, 3, 9, 11, 0, 2, 0, 1, 12, 7, 2, 5, 6, 0, 1, 9, 11, 4, 6, 3, 7, 8, 10, 0, 12, 2]		0.8461665729278245
3218		[2, 5, 0, 4, 10, 8, 3, 9, 11, 0, 2, 0, 1, 12, 7, 2, 5, 6, 0, 1, 9, 11, 4, 6, 10, 7, 8, 3, 0, 12, 2]		0.8461811019928088
5684		[2, 5, 0, 4, 10, 8, 3, 9, 11, 0, 2, 0, 1, 7, 12, 2, 5, 6, 0, 1, 9, 11, 4, 6, 10, 7, 8, 3, 0, 12, 2]		0.846199407252265
6372		[2, 5, 0, 4, 10, 8, 9, 3, 11, 0, 2, 0, 1, 7, 12, 2, 5, 6, 0, 1, 9, 11, 4, 6, 10, 7, 8, 3, 0, 12, 2]		0.8462223703832751
13716		[2, 5, 0, 9, 3, 2, 4, 6, 3, 11, 2, 4, 8, 10, 1, 2, 5, 6, 0, 1, 7, 8, 12, 9, 10, 7, 2, 11, 2, 12, 2]		0.8594950443743571
16781		[2, 5, 0, 9, 3, 2, 4, 6, 3, 11, 2, 4, 8, 10, 1, 2, 5, 6, 0, 1, 7, 12, 8, 9, 10, 7, 2, 11, 2, 12, 2]		0.8598036665673139
18168		[1, 5, 0, 9, 3, 2, 4, 6, 3, 11, 2, 4, 8, 10, 2, 2, 5, 6, 0, 1, 7, 12, 8, 9, 10, 7, 2, 11, 2, 12, 2]		0.8603858289065193
18608		[1, 5, 0, 9, 2, 2, 4, 6, 3, 11, 2, 4, 8, 10, 2, 2, 5, 6, 0, 1, 7, 12, 8, 9, 10, 7, 2, 11, 2, 12, 3]		0.8624222963348644
19681		[1, 5, 0, 9, 2, 2, 4, 6, 3, 11, 2, 4, 8, 10, 2, 2, 5, 6, 0, 1, 7, 12, 8, 9, 10, 7, 2, 11, 2, 3, 12]		0.86247931666136
