it		info		fitness
0		[3, 0, 8, 11, 0, 2, 3, 0, 0, 12, 10, 2, 11, 5, 3, 1, 5, 7, 11, 5, 4, 6, 4, 5, 3]		0.18535498385186633
1		[3, 9, 8, 11, 0, 2, 3, 0, 0, 12, 10, 2, 9, 5, 9, 1, 5, 7, 11, 5, 4, 6, 4, 5, 9]		0.38057499440296777
2		[3, 0, 8, 11, 0, 2, 3, 0, 7, 12, 10, 2, 11, 7, 3, 1, 5, 9, 9, 5, 4, 6, 4, 5, 3]		0.4802758298339543
3		[3, 9, 8, 11, 0, 2, 3, 0, 0, 12, 10, 2, 9, 5, 1, 1, 5, 7, 11, 6, 4, 6, 4, 5, 9]		0.5326945458623696
14		[7, 9, 8, 11, 0, 2, 3, 0, 1, 12, 10, 2, 3, 5, 1, 1, 5, 7, 11, 6, 4, 6, 4, 5, 5]		0.584579095535254
15		[7, 9, 8, 11, 0, 2, 3, 0, 0, 12, 10, 2, 3, 5, 1, 1, 5, 7, 11, 6, 4, 6, 4, 5, 9]		0.6538806117813253
16		[7, 9, 8, 11, 0, 2, 3, 0, 1, 12, 10, 2, 3, 5, 12, 1, 5, 7, 11, 6, 4, 6, 4, 5, 3]		0.6627404466647938
19		[7, 9, 8, 11, 0, 2, 3, 0, 1, 12, 10, 2, 10, 5, 12, 1, 5, 7, 11, 6, 4, 6, 4, 5, 3]		0.7385980345403703
28		[7, 9, 8, 11, 0, 2, 3, 0, 1, 12, 9, 2, 10, 5, 12, 1, 5, 7, 11, 6, 4, 6, 4, 5, 3]		0.7394776705884932
33		[7, 9, 8, 11, 0, 10, 3, 0, 1, 12, 9, 2, 10, 5, 12, 1, 5, 7, 11, 6, 4, 6, 4, 5, 3]		0.7715865369189304
82		[7, 9, 8, 11, 0, 10, 3, 0, 1, 12, 9, 2, 10, 5, 12, 1, 5, 7, 11, 6, 4, 6, 4, 0, 3]		0.7723377389324206
85		[7, 9, 8, 11, 10, 10, 3, 0, 1, 12, 9, 2, 10, 5, 12, 1, 5, 7, 11, 6, 4, 6, 4, 0, 3]		0.7999316702058153
112		[7, 9, 8, 11, 6, 10, 3, 0, 1, 12, 9, 2, 10, 5, 12, 1, 5, 7, 11, 6, 4, 6, 4, 0, 3]		0.8015253146317085
128		[7, 9, 8, 1, 10, 10, 3, 0, 1, 7, 11, 0, 9, 5, 12, 12, 5, 11, 2, 8, 4, 6, 4, 1, 3]		0.8229646391196422
133		[7, 9, 8, 1, 10, 10, 3, 4, 1, 7, 11, 0, 9, 5, 12, 12, 5, 11, 2, 8, 6, 6, 4, 1, 3]		0.8237738190049826
143		[7, 2, 8, 1, 10, 10, 3, 0, 0, 7, 11, 2, 9, 5, 12, 12, 5, 4, 11, 3, 6, 6, 4, 1, 3]		0.829128104799695
163		[7, 5, 8, 1, 10, 10, 3, 0, 0, 7, 11, 2, 9, 4, 6, 12, 8, 11, 2, 3, 4, 6, 5, 1, 3]		0.8329823918283052
166		[12, 2, 8, 9, 10, 10, 7, 10, 0, 1, 5, 7, 9, 5, 6, 12, 8, 11, 2, 3, 4, 6, 4, 1, 3]		0.8872832205470398
173		[12, 2, 8, 11, 10, 10, 7, 0, 5, 1, 5, 7, 9, 5, 6, 12, 8, 11, 2, 3, 4, 6, 4, 1, 3]		0.8876946180450151
200		[12, 2, 8, 11, 10, 10, 7, 0, 5, 1, 2, 7, 9, 5, 6, 12, 8, 11, 2, 3, 4, 6, 4, 1, 3]		0.8881356740977178
209		[12, 7, 8, 11, 10, 10, 7, 0, 5, 1, 2, 9, 4, 5, 6, 12, 8, 11, 2, 3, 4, 6, 5, 1, 3]		0.8889201386382705
213		[12, 7, 8, 11, 10, 10, 7, 0, 5, 1, 2, 9, 9, 5, 6, 12, 8, 11, 2, 3, 4, 6, 4, 1, 3]		0.9470262737052672
221		[12, 2, 8, 11, 10, 10, 7, 0, 5, 1, 0, 9, 9, 5, 6, 12, 8, 11, 2, 3, 4, 6, 4, 1, 3]		0.9474648537006877
239		[12, 2, 8, 11, 10, 10, 7, 0, 5, 1, 0, 7, 9, 5, 6, 12, 8, 11, 2, 3, 4, 6, 4, 1, 3]		0.9481505008503545
284		[12, 2, 8, 11, 10, 10, 7, 0, 5, 1, 0, 7, 9, 5, 6, 12, 8, 11, 2, 9, 4, 6, 4, 1, 3]		0.9483777522758731
355		[12, 2, 8, 11, 10, 10, 7, 3, 5, 1, 0, 7, 9, 5, 6, 12, 8, 11, 2, 9, 4, 6, 4, 0, 3]		0.9496285727659789
358		[12, 2, 8, 11, 10, 1, 7, 3, 5, 1, 0, 7, 9, 5, 6, 12, 8, 11, 2, 9, 4, 6, 4, 0, 3]		0.9501832729622042
396		[12, 2, 8, 11, 10, 1, 7, 3, 5, 1, 0, 7, 9, 5, 6, 12, 8, 11, 2, 9, 4, 6, 4, 10, 0]		0.9503895656485758
758		[12, 2, 8, 11, 10, 9, 7, 3, 5, 1, 0, 7, 9, 5, 6, 12, 8, 11, 2, 1, 4, 6, 4, 10, 0]		0.9510342812947393
