it		info		fitness
0		[3, 0, 8, 11, 0, 2, 3, 0, 0, 12, 10, 2, 11, 5, 3, 1, 5, 7, 11, 5, 4, 6, 4, 5, 3, 3, 5, 12, 5, 3, 4]		0.2811989037150715
1		[3, 9, 8, 11, 9, 2, 3, 0, 0, 9, 10, 2, 11, 5, 3, 1, 9, 7, 11, 5, 4, 6, 4, 5, 3, 3, 5, 12, 5, 3, 4]		0.42864324094743145
2		[1, 0, 8, 11, 0, 2, 3, 0, 0, 9, 10, 2, 5, 5, 3, 1, 9, 7, 11, 5, 4, 8, 4, 5, 3, 3, 5, 12, 5, 3, 4]		0.45655302130717773
4		[1, 0, 8, 11, 6, 2, 3, 0, 0, 9, 10, 2, 5, 5, 12, 1, 9, 7, 11, 5, 4, 8, 4, 5, 3, 3, 6, 9, 5, 3, 4]		0.6262337986814742
9		[1, 1, 8, 11, 0, 2, 3, 0, 0, 9, 10, 2, 5, 5, 12, 2, 9, 7, 11, 5, 4, 8, 7, 5, 3, 3, 6, 12, 5, 3, 4]		0.6498768271063893
24		[1, 1, 8, 11, 0, 2, 3, 0, 0, 9, 10, 2, 5, 5, 12, 2, 9, 7, 11, 5, 4, 8, 7, 10, 3, 3, 6, 12, 5, 3, 4]		0.7154529181147226
33		[9, 6, 8, 11, 8, 1, 7, 0, 0, 12, 10, 2, 11, 4, 4, 1, 5, 2, 9, 6, 8, 4, 7, 5, 3, 9, 5, 12, 5, 3, 4]		0.7171137694743756
40		[9, 6, 8, 11, 8, 2, 7, 0, 0, 12, 10, 9, 11, 8, 3, 1, 5, 2, 1, 6, 4, 6, 4, 5, 3, 3, 7, 12, 5, 3, 4]		0.738581377376242
41		[1, 0, 8, 11, 7, 6, 4, 10, 7, 9, 10, 2, 11, 5, 3, 1, 5, 5, 10, 0, 4, 6, 9, 8, 3, 7, 12, 12, 5, 3, 4]		0.7416022261270995
47		[2, 10, 8, 11, 0, 2, 4, 7, 0, 12, 9, 2, 11, 5, 1, 10, 5, 7, 1, 6, 3, 6, 9, 12, 4, 3, 5, 8, 5, 3, 0]		0.7666700501161677
67		[0, 10, 8, 11, 8, 2, 4, 7, 0, 9, 10, 2, 11, 5, 4, 10, 7, 1, 11, 6, 4, 6, 9, 12, 1, 3, 5, 12, 5, 3, 0]		0.7871679615462677
